pair,n,days,pf,win_rate,total,avg,max_dd,max_loss,p05,cvar5,tuw_days
6407.T/6490.T,121,121,2.230794266078099,55.371900826446286,386694.28082490416,3195.8205026851583,-55953.845579304674,-22015.75174929885,-13739.255536937639,-16915.883806480546,905
8804.T/8850.T,156,156,1.807134036904874,58.97435897435898,267970.18318855646,1717.7575845420286,-74380.37541506445,-21557.270118899076,-10293.352751021506,-13851.93160694226,725
8766.T/8795.T,120,120,1.9141737598817077,60.0,199224.3695146874,1660.2030792890616,-56449.7988031574,-18221.60541794974,-10063.912916223964,-14924.481234272602,746
8015.T/8058.T,97,97,2.1926169415892884,62.88659793814433,188670.69166120133,1945.0586769196013,-57600.0,-29900.0,-6227.401241786319,-16026.298727583644,1075
3050.T/8218.T,191,191,2.0530011903668943,59.68586387434554,154104.99880703312,806.8324544870844,-15806.321524916802,-9059.352607484107,-3461.5121416371267,-5164.003649855547,181
2053.T/2060.T,163,163,2.062400784407828,60.122699386503065,128210.95451647932,786.5702731072352,-13953.181155759186,-7022.081486638581,-3894.107419164243,-5122.986428267159,246
4183.T/4208.T,163,163,1.4628240263339218,55.828220858895705,125707.38736734568,771.2109654438385,-53568.28015498927,-31555.724152765608,-7805.127582331204,-13484.208781736592,770
8020.T/8031.T,113,113,2.152512486359262,61.94690265486725,117941.22382865413,1043.727644501364,-26300.0,-14500.0,-4026.6876717347714,-7886.013717520617,807
4118.T/4401.T,152,152,1.3189158802002112,54.60526315789473,111348.46867400465,732.5557149605569,-67685.06275041073,-36811.24277660042,-10503.129909688378,-16236.098367045872,761
8367.T/8551.T,140,140,1.5468766985996671,57.14285714285714,71665.94372476688,511.8995980340492,-12051.295546721987,-8251.396199955843,-4410.0,-6083.4110807651405,848
4911.T/4922.T,134,134,1.0827002844048372,51.49253731343284,70856.75443091286,528.7817494844243,-241088.01938183478,-39844.68471911496,-26886.84603524187,-31740.462828330288,1252
8331.T/8551.T,80,80,2.0116158425037063,60.0,68823.39541746832,860.292442718354,-16362.470744918146,-9166.404380934455,-4495.179586855092,-6581.9499371481015,499
7189.T/8341.T,123,123,1.6210447451083139,53.65853658536586,60985.24025008296,495.81496138278834,-23839.683411830178,-14540.56611347014,-4204.726787860604,-6920.426541941311,543
8439.T/8591.T,129,129,1.2842234274338276,51.162790697674424,49730.41880034623,385.50712248330416,-29565.012178195506,-9750.0,-6197.426492533214,-7669.438595229125,615
7267.T/7270.T,174,174,1.2584637584188918,53.44827586206896,49541.45735540068,284.72101928391197,-38822.02781341552,-11367.220718527096,-4589.248485124051,-6442.278540010615,1185
9503.T/9505.T,126,126,1.646862189761143,61.904761904761905,48818.86837316069,387.4513362949261,-12389.996337890625,-12039.996337890625,-2522.6503937245016,-4985.503749767881,688
8343.T/8395.T,119,119,1.5114285991592247,50.42016806722689,47479.418521070016,398.9867102610926,-22253.34225005604,-9552.09742492475,-3439.125838934183,-5834.182456636477,753
7911.T/7912.T,174,174,1.1580865298640501,53.44827586206896,39540.53893457941,227.24447663551385,-43704.91870725257,-38136.007543237196,-5180.033106884013,-13941.618658706167,543
4045.T/4095.T,97,97,1.9774821209155609,59.79381443298969,39162.99891728826,403.7422568792604,-6994.414550280817,-5848.800382311412,-1618.2267299086832,-3104.6895179306966,460
5844.T/7337.T,37,37,2.154054769619302,56.75675675675676,34218.142773834275,924.8146695630885,-7750.0,-6500.0,-3780.0,-5900.0,984
8345.T/8399.T,97,97,1.4996898641680712,59.79381443298969,34005.585076809475,350.57304202896364,-10900.0,-7600.0,-4291.075117897594,-5633.171823787898,769
6470.T/6471.T,130,130,1.6341171500395437,53.07692307692308,33238.70357908445,255.68233522372657,-7977.074860741788,-5200.0,-1540.0944875397704,-2493.135368991042,518
8002.T/8015.T,118,118,1.1914322129616088,57.6271186440678,32489.768528136803,275.3370214248882,-33200.0,-33200.0,-5940.187393734786,-13028.263359055709,778
3407.T/4631.T,71,71,1.3983954164410577,53.52112676056338,26226.92523681235,369.3933131945401,-16095.064019460791,-7355.316792802864,-4566.308771825181,-5862.720824489639,1365
7173.T/7189.T,68,68,1.2572596697847165,41.17647058823529,26052.737456068775,383.1284920010114,-38037.38648352314,-30579.368960181593,-6381.685457335198,-14127.754837310049,729
8345.T/8387.T,100,100,1.3319625597569176,56.99999999999999,24304.73919514581,243.04739195145808,-17589.999999999985,-10089.999999999985,-3299.8952399586256,-6130.155145139515,794
8336.T/8399.T,70,70,2.3246242676104854,65.71428571428571,23839.26757837779,340.560965405397,-3062.772436130036,-1859.999999999991,-1321.822243019535,-1622.4058756662203,698
8012.T/9934.T,150,150,1.2234908789138945,56.666666666666664,20681.011451249295,137.8734096749953,-13550.0,-9050.0,-2672.149260657511,-4623.42282472234,788
6971.T/6981.T,175,175,1.0372387058893402,46.85714285714286,14018.730473334766,80.10703127619867,-73446.45896632773,-19050.0,-8966.810517745167,-12357.20363756485,1470
8346.T/8600.T,73,73,1.34774354646923,52.054794520547944,7972.825930392376,109.21679356701885,-6670.353583195183,-2337.037664321963,-1602.582691056926,-2085.4468867986398,585
8370.T/8600.T,115,115,0.9673743518278457,53.91304347826087,-3177.0562007539675,-27.62657565873015,-24385.722345994953,-14637.192332442148,-2877.066677051371,-6559.645448498311,1294
