signal,type,pearson,spearman,chatterjee,n
momentum_10,single,-0.0416,-0.0422,0.017,236.9103
rsi_extreme,composite,-0.0586,-0.0944,0.0135,55.9103
trend_strength,composite,-0.0197,-0.0408,0.0123,236.9103
deviation_momentum,composite,-0.0294,-0.0515,0.0119,222.9103
volume_ratio,single,0.004,-0.0073,0.0092,227.9103
vol_adj_momentum,composite,-0.0007,-0.0417,0.0081,236.9103
triple_oscillator,composite,-0.0246,-0.0469,0.0076,227.9103
bb_extreme,composite,-0.0117,0.008,0.0074,28.9615
trend_score,composite,-0.018,-0.0385,0.0072,227.9103
bb_pct_b,single,-0.0213,-0.0456,0.005,227.9103
sma_dev_25,single,-0.0525,-0.0538,0.0049,222.9103
rsi_14,single,-0.0233,-0.0447,0.0047,232.9103
oversold_combo,composite,0.0255,0.0485,0.0026,227.9103
volume_rsi,composite,-0.0176,-0.0411,0.0026,227.9103
volume_momentum,composite,-0.0194,-0.0354,0.0022,227.9103
oscillator_combo,composite,-0.0234,-0.0432,-0.0006,232.9103
contrarian_score,composite,0.0253,0.046,-0.0051,227.9103
